class_0_prob,class_1_prob,class_2_prob,class_3_prob,class_4_prob,class_5_prob,pred_class
0.993,0.006416,6.85e-06,3.43e-05,3.4e-06,0.0001917,0
0.9795,0.0202,8.8e-06,2.94e-05,5.84e-06,0.000132,0
0.9595,0.04068,1.174e-05,2.93e-05,1.39e-05,0.0001508,0
0.9478,0.05264,1.484e-05,7.1e-06,1.884e-05,5.5e-05,0
0.964,0.03558,9.36e-06,1.526e-05,4.39e-05,0.000603,0
0.944,0.05316,6.7e-06,1.7e-06,0.002705,0.0001807,0
0.9824,0.01509,8.2e-06,6e-07,0.001114,0.001005,0
0.685,0.315,1.746e-05,1.13e-06,0.0001087,0.0001372,0
0.936,0.06195,1.967e-05,8.3e-07,0.0002209,0.001702,0
0.85,0.1498,0.0001136,6e-07,4.86e-05,0.00026,0
0.73,0.27,9.44e-05,1.25e-06,6.616e-05,7.707e-05,0
0.4272,0.5728,3.433e-05,1.13e-06,2.46e-05,4.286e-05,1
0.775,0.2253,7.4e-06,2.9e-06,2.59e-05,7.29e-05,0
0.7,0.2998,7.87e-06,4.05e-06,1.76e-05,6.664e-05,0
0.842,0.1578,4.1e-06,3.46e-06,5.14e-05,0.000617,0
0.5044,0.4946,2.354e-05,1.09e-05,3.3e-06,0.0008273,0
0.702,0.2974,3.487e-05,8.297e-05,1.97e-06,0.0005074,0
0.629,0.3699,0.0003967,0.0001844,6.6e-07,0.0003023,0
0.487,0.5127,0.0003974,0.0001851,1.25e-06,4.435e-05,1
0.582,0.4177,0.0005765,4.566e-05,1.25e-06,2.044e-05,0
0.7295,0.2695,0.0005527,0.0003052,1.7e-06,4.36e-05,0
0.738,0.259,0.00263,0.000146,1.6e-06,6.38e-05,0
0.3054,0.6934,0.0008817,0.0002491,1.13e-06,2.944e-05,1
0.674,0.326,0.0002596,8.78e-05,1.5e-06,0.0001293,0
0.6875,0.3123,6.866e-05,2.93e-05,1.3e-06,2.265e-05,0
0.6978,0.3022,4.28e-05,6.3e-06,3.5e-06,4.59e-05,0
0.6587,0.3416,5.74e-05,4.3e-06,5.36e-06,2.146e-05,0
0.692,0.308,3.56e-05,2.2e-06,0.000105,1.46e-05,0
0.628,0.372,2.515e-05,3e-06,4.834e-05,1.174e-05,0
0.3198,0.68,8.67e-05,2.15e-06,1.07e-05,1.72e-05,1
0.5215,0.4788,0.0001272,2.3e-06,6.56e-06,3.475e-05,0
0.3848,0.615,9.704e-05,1.13e-06,7.4e-06,6.49e-05,1
0.6636,0.3362,7.486e-05,1.5e-06,9.36e-06,0.00011003,0
0.7026,0.2969,0.0003061,1.25e-06,1.276e-05,6.545e-05,0
0.666,0.3335,0.0001072,9.5e-07,7.635e-05,0.00011754,0
0.6426,0.357,0.000541,4.3e-06,2.027e-05,6.735e-05,0
0.7637,0.2356,0.0005045,7e-06,5.66e-06,2.87e-05,0
0.7847,0.2145,0.0002742,1e-05,7.75e-06,2.384e-05,0
0.935,0.06464,9.567e-05,1.56e-05,5.5e-06,0.0001544,0
0.919,0.0805,0.00010014,1.17e-05,4.68e-05,7.68e-05,0
0.739,0.2612,9.72e-05,9.9e-06,5.5e-06,1.025e-05,0
0.9355,0.06433,0.0001827,7.4e-06,5e-06,1.86e-05,0
0.9644,0.03568,5.64e-05,1.043e-05,4.23e-06,3.82e-05,0
0.954,0.0457,3.576e-05,1.544e-05,2.1e-06,3.195e-05,0
0.9795,0.02013,3.01e-05,1.025e-05,3.463e-05,5.513e-05,0
0.937,0.06232,5.77e-05,1.335e-05,4.935e-05,6.29e-05,0
0.948,0.05185,2.59e-05,7.1e-06,1.71e-05,7.37e-05,0
0.9775,0.02193,1.71e-05,4.7e-06,1.043e-05,0.0002723,0
0.972,0.003983,5.25e-06,4.4e-06,0.0002582,0.0235,0
0.9473,0.003672,4.35e-06,4.5e-06,0.0001487,0.0484,0
0.972,0.001922,4.65e-06,1.9e-06,0.001398,0.02477,0
0.973,0.00731,4.9e-06,2e-06,0.0008636,0.01845,0
0.9927,0.004402,3.76e-06,1.8e-06,0.000694,0.002268,0
0.9863,0.01273,4.05e-06,1.7e-06,0.00034,0.000804,0
0.9736,0.02591,3.46e-06,1.85e-06,0.0001649,0.0004156,0
0.9497,0.04996,9.6e-06,1.43e-06,0.0001239,9.775e-05,0
0.9644,0.035,6.44e-06,3.7e-06,5.43e-05,0.0001891,0
0.991,0.00824,4.77e-06,1.8e-06,0.0001506,0.000112,0
0.9775,0.02228,4.053e-05,2.4e-05,4.3e-06,2.06e-05,0
0.974,0.02571,1.79e-05,1.49e-05,3.3e-06,2.84e-05,0
0.9404,0.05966,4.54e-05,1.48e-05,7.45e-06,1.186e-05,0
0.987,0.013016,1.085e-05,7.03e-06,3.654e-05,9.8e-06,0
0.9946,0.005444,9.1e-06,5.5e-06,1.186e-05,1.32e-05,0
0.99,0.00966,8.2e-06,1.22e-05,3.505e-05,1.01e-05,0
0.99,0.010056,9.24e-06,1.043e-05,1.85e-05,1.127e-05,0
0.977,0.02272,6.5e-06,7.4e-06,4.68e-05,1.013e-05,0
0.9023,0.09735,1.174e-05,1.22e-05,7e-06,1.544e-05,0
0.9004,0.0994,1.025e-05,1.07e-05,1.07e-05,1.13e-05,0
0.8926,0.10736,1.12e-05,6.85e-06,1.246e-05,1.335e-05,0
0.859,0.1412,1.484e-05,4.4e-06,2.486e-05,1.21e-05,0
0.885,0.11505,1.65e-05,1.67e-06,3.386e-05,2.42e-05,0
0.825,0.1749,1.776e-05,1.25e-06,3.28e-05,3.45e-05,0
0.9326,0.06433,1.51e-05,8e-07,0.002325,0.0004761,0
0.9556,0.04205,1.156e-05,1.2e-06,0.001856,0.000973,0
0.974,0.02391,5.84e-06,1.1e-06,0.000919,0.001264,0
0.98,0.01698,4.4e-06,1.43e-06,0.001129,0.001583,0
0.934,0.06354,1e-05,1.25e-06,0.00236,0.0002333,0
0.9736,0.02437,7.57e-06,1.5e-06,0.001939,0.0002031,0
0.9453,0.05353,1.067e-05,1.7e-06,0.00108,0.0001912,0
0.9727,0.02034,3.254e-05,3.04e-06,0.006687,0.0003238,0
0.9585,0.04047,3.04e-05,3.34e-06,0.000539,0.000164,0
0.969,0.0303,2.07e-05,2.26e-06,0.00026,0.0002615,0
0.979,0.02048,1.41e-05,9.8e-06,5.66e-06,0.0001911,0
0.996,0.003925,1.62e-05,1.246e-05,7.6e-06,0.0001663,0
0.9927,0.007195,1.15e-05,1.353e-05,3e-06,0.0001874,0
0.976,0.02336,2.533e-05,1.36e-05,5.9e-06,0.000376,0
0.9062,0.09326,4.02e-05,2.307e-05,3.9e-06,0.00011426,0
0.981,0.01836,1.097e-05,1.45e-05,6.85e-06,0.0002503,0
0.931,0.06836,1.91e-05,9.36e-06,7.15e-06,6.974e-05,0
0.958,0.04202,1.06e-05,7.9e-06,6.26e-06,3.43e-05,0
0.9443,0.05563,1.013e-05,8.46e-06,5.8e-06,2.78e-05,0
0.9907,0.00914,3e-06,6.4e-06,1.657e-05,4.315e-05,0
0.9844,0.01515,4.65e-06,6.3e-06,2.28e-05,2.51e-05,0
0.9956,0.004646,4.2e-06,5.96e-06,2.25e-05,2.23e-05,0
0.9297,0.07025,1.66e-05,1.17e-05,9.2e-06,1.05e-05,0
0.9976,0.002304,6.4e-06,4.23e-06,1.58e-05,1.38e-05,0
0.9985,0.001391,3e-06,1.01e-05,3.34e-06,3.445e-05,0
0.999,0.0009093,3.9e-06,6.9e-06,1.12e-05,5.59e-05,0
0.999,0.000654,2.3e-06,7.15e-06,1.02e-05,4.04e-05,0
1.0,0.0001936,1.8e-06,7.9e-06,1.097e-05,0.0001003,0
1.0,0.0002596,1.85e-06,5.7e-06,1.99e-05,0.0001133,0
0.9995,0.0004482,2.15e-06,6.56e-06,1.854e-05,0.0001076,0
0.999,0.0002983,2.1e-06,5.2e-06,1.186e-05,0.0001452,0
0.999,0.000637,2.4e-06,6.56e-06,5.6e-06,0.000282,0
0.999,0.0003128,1.97e-06,6.8e-06,6.5e-06,0.0002806,0
0.998,0.001554,2e-06,1.97e-06,9.096e-05,0.0001596,0
0.9985,0.0008655,2.44e-06,2.5e-06,0.000124,0.0001284,0
0.998,0.001301,1.7e-06,1.6e-06,0.0002778,0.0002099,0
0.9985,0.001538,3.34e-06,2.3e-06,0.0002055,0.0001367,0
0.998,0.002056,2.86e-06,2.2e-06,0.00011194,8.19e-05,0
0.9985,0.001046,3e-06,1.3e-06,0.0002272,9.02e-05,0
0.998,0.000908,1.8e-06,1.67e-06,0.0005794,8.96e-05,0
0.999,0.000581,2.15e-06,1.2e-06,0.0002004,6.42e-05,0
0.999,0.000932,3.5e-06,1.67e-06,0.0002241,1.94e-05,0
0.999,0.001025,1.9e-06,1.97e-06,0.0001408,4.005e-05,0
0.9976,0.00242,2.15e-06,2.4e-06,7.933e-05,2.956e-05,0
0.999,0.0005236,2.26e-06,1.7e-06,1.824e-05,3.767e-05,0
0.999,0.0005937,2.4e-06,1.43e-06,1.58e-05,4.66e-05,0
0.999,0.000531,2.3e-06,1.5e-06,1.115e-05,5.347e-05,0
0.999,0.000654,1.5e-06,1.67e-06,1.45e-05,7.945e-05,0
0.999,0.000769,1.55e-06,1.43e-06,3.964e-05,9.733e-05,0
0.999,0.0006413,1.6e-06,1.7e-06,6.13e-05,0.0001391,0
0.998,0.001487,2.4e-06,8.3e-07,0.0001417,6.47e-05,0
0.998,0.001338,2.15e-06,9e-07,0.0002835,0.0001628,0
0.998,0.001278,1.6e-06,1.4e-06,0.0002806,0.0001446,0
0.999,0.0001321,1.6e-06,1.7e-06,0.0002377,0.0004857,0
0.9956,0.003885,4.9e-06,6.6e-07,0.0004113,7.29e-05,0
0.994,0.00573,2.44e-06,1.7e-06,3.225e-05,7.5e-05,0
0.994,0.006195,2.3e-06,3.1e-06,1.14e-05,8.947e-05,0
0.989,0.010956,2.44e-06,1.9e-06,4.643e-05,6.77e-05,0
0.989,0.011284,3.93e-06,4.9e-06,1.05e-05,3.53e-05,0
0.9785,0.02162,1.1e-05,1.85e-06,4.303e-05,1.43e-05,0
0.9873,0.012314,8e-06,2.3e-06,8.73e-05,1.51e-05,0
0.9785,0.02138,2.1e-05,3.2e-06,0.0001194,1.4e-05,0
0.9756,0.02386,1.07e-05,2.2e-06,0.0001158,1.454e-05,0
0.9575,0.0417,3.71e-05,2.1e-06,0.0004222,1.34e-05,0
0.953,0.04626,3.88e-05,5.66e-06,4.435e-05,1.45e-05,0
0.964,0.03568,2.96e-05,1.5e-06,0.0001237,2.44e-05,0
0.9634,0.03635,0.0001442,1.67e-06,0.0001615,1.746e-05,0
0.9155,0.0838,0.0006747,1.85e-06,0.0001329,1.04e-05,0
0.932,0.06714,0.0004032,1.6e-06,0.0001757,1.53e-05,0
0.9795,0.02,0.0002558,1.85e-06,9.656e-05,1.42e-05,0
0.987,0.013016,6.354e-05,2.3e-06,5.776e-05,4.9e-05,0
0.989,0.01131,5.04e-05,1.13e-06,5.543e-05,2.48e-05,0
0.995,0.00444,2.83e-05,2.6e-06,0.0001963,7.1e-05,0
0.9966,0.002983,1.66e-05,1.9e-06,0.0001378,7.58e-05,0
0.9976,0.002048,4.095e-05,3.93e-06,7.07e-05,5.48e-05,0
0.996,0.003681,4.93e-05,1.85e-06,4.78e-05,0.0001322,0
0.9966,0.00304,2.67e-05,1.6e-06,3.16e-05,0.00011444,0
0.9985,0.001093,9.1e-06,1.55e-06,1.496e-05,0.000245,0
0.998,0.001824,8.94e-05,5.07e-06,4.2e-06,2.62e-05,0
0.9253,0.07404,0.0001333,5.1e-06,1.323e-05,6.044e-05,0
0.9644,0.03574,3.546e-05,1.85e-06,4.786e-05,6.175e-05,0
0.8916,0.1078,3.13e-05,3e-06,2.76e-05,3.59e-05,0
0.9326,0.0668,1.74e-05,1.6e-06,3.594e-05,5.23e-05,0
0.8926,0.10724,1.8e-05,1.97e-06,4.685e-05,3.71e-05,0
0.969,0.0305,1.17e-05,8e-07,2.73e-05,6.646e-05,0
0.9814,0.01807,1.514e-05,8e-07,2.295e-05,3.36e-05,0
0.967,0.0332,8.2e-06,8e-07,2.51e-05,4.59e-05,0
0.9917,0.008255,8.17e-06,9e-07,1.37e-05,3.58e-05,0
0.9966,0.00288,4.1e-06,5.4e-07,2.57e-05,8.35e-05,0
0.998,0.001813,4.2e-06,5.4e-07,3.594e-05,0.0001043,0
0.999,0.0004983,2e-06,5.4e-07,2.58e-05,0.0004342,0
0.9985,0.000415,3.7e-06,5e-07,5.835e-05,0.0009127,0
0.971,0.01927,4.3e-06,5e-07,0.00675,0.00237,0
0.9697,0.02927,9.3e-06,4e-07,0.001116,0.0003884,0
0.993,0.00562,1.67e-06,6e-07,0.0003316,0.000496,0
0.993,0.005928,2.2e-06,8e-07,0.0002061,0.00095,0
0.9956,0.003345,2e-06,9e-07,0.0001541,0.0007935,0
0.996,0.001925,2.15e-06,4.6e-06,6.974e-05,0.001458,0
0.993,0.002468,3.04e-06,1e-06,0.000724,0.003496,0
0.986,0.005707,5.66e-06,3.3e-06,0.0017395,0.007145,0
0.9937,0.004913,5.54e-06,3.5e-06,0.00011545,0.001611,0
0.9883,0.003603,2.3e-06,2.4e-06,0.0002356,0.007706,0
0.9956,0.001098,5.9e-06,2.83e-05,2.8e-06,0.003317,0
0.9966,0.000979,1.234e-05,1.26e-05,4.8e-06,0.00228,0
0.9927,0.001451,4.65e-06,1.43e-05,4.12e-05,0.005524,0
0.996,0.000813,1.05e-05,1.8e-06,0.00010294,0.002872,0
0.992,0.0008664,2.74e-06,4.65e-06,0.0002642,0.006557,0
0.9976,0.000355,3.7e-06,8.2e-06,3.93e-05,0.002352,0
0.994,0.000592,8e-07,7.15e-06,5.823e-05,0.005527,0
0.9956,0.003506,6.6e-07,6.44e-06,1.234e-05,0.0007467,0
0.9956,0.004414,1.13e-06,9.3e-06,5.7e-06,0.0003154,0
0.9966,0.003263,1.13e-06,1.4e-05,5.66e-06,0.000145,0
0.988,0.01207,2.74e-06,6.6e-06,1.043e-05,9.835e-05,0
0.9897,0.01,2.4e-06,4.7e-06,1.52e-05,3.666e-05,0
0.63,0.3704,1.246e-05,5.1e-06,1.46e-05,1.615e-05,0
0.952,0.04758,3.314e-05,4.84e-05,1.43e-06,2.414e-05,0
0.9272,0.0722,0.0005407,0.0001201,4.23e-06,2.4e-06,0
0.9575,0.04214,0.0002383,3.47e-05,8.76e-06,2.3e-06,0
0.9946,0.003784,0.001878,5.215e-05,1.61e-05,4e-06,0
0.9937,0.004593,0.001627,3.356e-05,4.6e-06,6.85e-06,0
0.9907,0.002953,0.006264,9.57e-05,3.76e-06,4.1e-06,0
0.933,0.04453,0.02208,1.985e-05,5e-06,4.35e-06,0
0.761,0.006424,0.2322,0.00010234,5.07e-06,4.95e-06,0
0.745,0.045,0.2097,3.43e-05,8e-06,3.8e-06,0
0.985,0.00697,0.00851,3.93e-05,4e-06,1.19e-05,0
0.848,0.1515,0.0004556,1.72e-05,2.5e-06,7.75e-06,0
0.9966,0.002975,2.35e-05,8.76e-06,2.277e-05,0.0002403,0
0.9844,0.01541,3.767e-05,7.3e-06,4.405e-05,0.00010914,0
0.996,0.003468,2.51e-05,5.2e-06,2.5e-05,0.0002167,0
