class_0_prob,class_1_prob,class_2_prob,class_3_prob,class_4_prob,class_5_prob,pred_class
0.3823,0.6177,0.00010467,1.43e-06,0.0001742,6.63e-05,1
0.409,0.5903,0.0004158,4.4e-06,1.36e-05,4.834e-05,1
0.7026,0.281,0.01628,7.29e-05,1.31e-05,2.08e-05,0
0.823,0.1692,0.007366,5.17e-05,3.797e-05,5.54e-06,0
0.8594,0.1346,0.00638,2.98e-05,2.414e-05,1.1e-05,0
0.6304,0.357,0.0124,7.9e-06,8.357e-05,7.1e-06,0
0.8325,0.1655,0.001611,4.05e-06,0.0001642,3.964e-05,0
0.5264,0.4673,0.006203,9e-06,5.72e-05,9.66e-06,0
0.647,0.347,0.006126,2.74e-05,4.07e-05,1.04e-05,0
0.56,0.4385,0.001076,1.144e-05,6.944e-05,8.05e-06,0
0.859,0.1401,9.5e-05,1.4e-06,0.00011367,0.0008144,0
0.7656,0.234,0.0003057,1.13e-06,0.0001191,7.87e-05,0
0.5913,0.4082,0.0001822,1e-06,0.0002235,3.37e-05,0
0.859,0.1407,0.0002456,8e-07,7.54e-05,0.000326,0
0.9507,0.04913,0.0001761,5.4e-07,6.5e-05,0.0001413,0
0.7847,0.2146,0.000134,1.13e-06,4.816e-05,0.00013,0
0.9185,0.08105,0.0001959,9e-07,3.16e-05,0.0001174,0
0.6587,0.3403,0.000602,2.56e-06,5.1e-06,3.55e-05,0
0.4407,0.559,4.99e-05,1.2e-06,2.55e-05,5.97e-05,1
0.381,0.6187,3.05e-05,1.25e-06,2.46e-05,3.51e-05,1
0.4255,0.5747,7.755e-05,6.26e-06,4.23e-06,8.34e-06,1
0.3164,0.6836,2.277e-05,7e-06,9.9e-06,8.46e-06,1
0.2627,0.7373,3.093e-05,5.6e-06,5.3e-06,7.57e-06,1
0.1495,0.8506,5.186e-05,6.74e-06,6.14e-06,3.3e-06,1
0.1377,0.8623,9.483e-05,1.15e-05,4.2e-06,4.1e-06,1
0.218,0.7817,0.0002388,9.83e-06,5.5e-06,4.05e-06,1
0.1174,0.8823,0.0001126,6.8e-06,8.17e-06,2.15e-06,1
0.1825,0.8174,0.0002286,6.14e-06,6.2e-06,4.4e-06,1
0.3396,0.66,0.0002394,8.9e-06,1.19e-05,7.6e-06,1
0.2756,0.7236,0.0003068,1.687e-05,4.8e-06,6.85e-06,1
0.2534,0.746,0.0002828,1.89e-05,4.65e-06,1.043e-05,1
0.501,0.4988,3.23e-05,3.64e-06,4.15e-05,3.44e-05,0
0.4446,0.555,4.34e-05,4e-06,0.0001091,1.895e-05,1
0.615,0.3848,4.715e-05,1.097e-05,0.0001761,3.01e-05,0
0.5156,0.4844,3.064e-05,6.1e-06,0.0001757,2.36e-05,0
0.704,0.2957,3.237e-05,5.84e-06,0.0002904,3.374e-05,0
0.8237,0.1754,3.624e-05,6.56e-06,0.0001713,8.625e-05,0
0.768,0.2316,4.16e-05,6.44e-06,3.79e-05,8.875e-05,0
0.719,0.281,4.21e-05,9.7e-06,2.915e-05,0.000248,0
0.7026,0.2974,5.597e-05,1.28e-05,8.17e-06,7.65e-05,0
0.11615,0.884,4.256e-05,8.17e-06,3.93e-06,1.895e-05,1
