class_0_prob,class_1_prob,class_2_prob,class_3_prob,class_4_prob,class_5_prob,pred_class
0.969,0.00441,0.02605,6.6e-07,7.78e-05,0.0002124,0
0.811,0.02466,0.1647,4.3e-06,5.317e-05,2.736e-05,0
0.832,0.004993,0.1628,2.2e-06,0.000172,2.12e-05,0
0.783,0.007175,0.2091,1.5e-06,0.0005674,1.7e-05,0
0.65,0.001601,0.348,4.7e-06,4.83e-05,9.24e-06,0
0.691,0.002499,0.3062,7.33e-06,1.57e-05,7.03e-06,0
0.715,0.003475,0.2817,1.01e-05,7.03e-06,1.395e-05,0
0.8965,0.03772,0.0663,8.17e-06,5.36e-06,7.8e-06,0
0.8945,0.01054,0.0944,7.57e-06,4.65e-06,8.17e-06,0
0.907,0.0752,0.01747,4.9e-06,2e-06,1.776e-05,0
0.9688,0.02412,0.00686,8.6e-06,4e-07,1.687e-05,0
0.871,0.1274,0.001739,7e-07,9.24e-06,6.7e-05,0
0.925,0.07043,0.0048,7e-07,6.5e-06,0.0001289,0
0.839,0.1475,0.01346,8e-07,9.95e-06,0.0001027,0
0.918,0.0528,0.02911,1e-06,7.4e-06,2.587e-05,0
0.956,0.03824,0.005745,3e-07,1.86e-05,5.555e-05,0
0.924,0.01685,0.05893,6.6e-07,7e-05,3.3e-05,0
0.9395,0.01373,0.0463,2.4e-07,0.000593,5.186e-05,0
0.922,0.010185,0.06757,3e-07,0.0004573,2.766e-05,0
0.983,0.004692,0.01183,2.4e-07,0.0001284,1.776e-05,0
0.9883,0.00663,0.005005,2e-07,0.0001723,2.44e-05,0
0.984,0.006184,0.009895,2.4e-07,0.0001014,3.97e-05,0
0.911,0.08545,0.003454,4e-07,0.00010777,2.587e-05,0
0.894,0.0977,0.008286,8e-07,2.27e-05,2.52e-05,0
0.697,0.291,0.012215,2.4e-06,9.95e-06,3.165e-05,0
0.873,0.11536,0.01199,1.25e-06,5.746e-05,1.88e-05,0
0.91,0.0762,0.01353,1.43e-06,3.48e-05,5.6e-06,0
0.898,0.07697,0.02493,2.4e-06,6.6e-05,4.4e-06,0
0.8994,0.02312,0.0775,3.46e-06,2.325e-05,6e-06,0
0.857,0.1021,0.04074,2.26e-06,0.0001968,6.26e-06,0
0.841,0.134,0.02501,3.93e-06,3.77e-05,8.4e-06,0
0.867,0.01952,0.1138,5.07e-06,1e-05,1.02e-05,0
0.9478,0.03818,0.01387,3.3e-06,9.2e-06,3.8e-06,0
0.96,0.02922,0.01134,2.8e-06,8.6e-06,5.4e-06,0
0.9873,0.0079,0.004765,8e-07,3.45e-05,4.6e-06,0
0.9883,0.001902,0.00957,1.5e-06,8.8e-06,2.223e-05,0
0.992,0.002548,0.005177,9.5e-07,7.45e-06,2.545e-05,0
0.986,0.001382,0.012924,9.5e-07,3.654e-05,2.176e-05,0
0.9883,0.00793,0.003622,1.4e-06,3.7e-06,9.83e-06,0
0.93,0.005726,0.06415,4.05e-06,1.3e-05,1.127e-05,0
0.9766,0.01466,0.0086,9e-07,1.63e-05,9.3e-06,0
0.949,0.007084,0.0432,2.74e-06,1.097e-05,9.2e-06,0
0.9766,0.0007005,0.02257,5e-07,0.0001104,0.0001276,0
0.9473,0.01668,0.0361,6e-07,2.53e-05,3.415e-05,0
0.871,0.00328,0.1255,2.15e-06,8.1e-06,2.55e-05,0
0.8574,0.0271,0.11536,1.25e-06,1.41e-05,2.354e-05,0
0.9575,0.009995,0.0326,1e-06,4.5e-06,3.13e-05,0
0.938,0.02855,0.03308,7e-07,1.55e-05,1.943e-05,0
0.822,0.1597,0.01846,6e-07,5.47e-05,5.65e-05,0
0.904,0.09344,0.00263,2e-07,0.0001309,3.827e-05,0
0.83,0.1681,0.001799,3.6e-07,0.0001217,2.68e-05,0
0.645,0.3535,0.001443,2.4e-07,0.0002285,2.086e-05,0
0.608,0.3804,0.01194,1.6e-06,5.686e-05,7.03e-06,0
0.9336,0.06335,0.003098,3e-07,0.0001863,2.05e-05,0
0.879,0.11597,0.004795,3.6e-07,0.0001512,2.01e-05,0
0.9517,0.0086,0.03906,3.6e-07,0.0005283,1.11e-05,0
0.883,0.00858,0.1084,7e-07,0.0002389,2.086e-05,0
0.8213,0.1445,0.0338,2.4e-06,3.576e-05,2.545e-05,0
0.893,0.0236,0.0828,1.9e-06,2.044e-05,2.08e-05,0
0.857,0.0126,0.1301,2.86e-06,1.32e-05,3.39e-05,0
0.8022,0.07745,0.12,3.1e-06,1.03e-05,3.797e-05,0
0.79,0.1329,0.077,3.64e-06,7.87e-06,0.0001773,0
0.9365,0.02322,0.04034,1.7e-06,1.717e-05,4.19e-05,0
0.9185,0.006046,0.07526,1.1e-06,4.84e-05,3.976e-05,0
0.9443,0.000792,0.05493,1.7e-06,2.59e-05,3.004e-05,0
0.96,0.0002933,0.0397,1.7e-06,8.14e-05,2.48e-05,0
0.873,0.000333,0.1262,4.65e-06,0.0003364,6.56e-06,0
0.8926,0.0004566,0.1068,1.7e-06,0.0001631,9.9e-06,0
0.7085,0.0005836,0.29,4.05e-06,0.0006475,5.25e-06,0
0.859,0.008736,0.1274,1e-06,0.00501,5.5e-06,0
0.8174,0.008194,0.167,1.55e-06,0.006855,5.7e-06,0
0.714,0.01846,0.267,2.26e-06,0.000862,8.7e-06,0
0.8125,0.003538,0.1827,1.43e-06,0.001063,1.43e-05,0
0.842,0.0066,0.1517,9.5e-07,0.0002066,1.2e-05,0
0.923,0.0411,0.03586,6.6e-07,0.0001677,1.585e-05,0
0.941,0.04016,0.01862,1.2e-06,7.737e-05,4.53e-06,0
