class_0_prob,class_1_prob,class_2_prob,class_3_prob,class_4_prob,class_5_prob,pred_class
0.9976,0.0003512,7e-07,4.95e-06,1.21e-05,0.002369,0
0.9966,0.0004451,1.13e-06,5.96e-06,4.3e-06,0.002863,0
0.99,0.0003042,1.2e-06,3.78e-05,2.3e-06,0.00918,0
0.998,0.000402,1e-06,3.18e-05,2.86e-06,0.001204,0
0.998,0.0003343,9e-07,4.715e-05,4.1e-06,0.001626,0
0.9985,0.000333,1.25e-06,5.8e-05,7.1e-06,0.0008197,0
0.998,0.0008445,9e-07,4.005e-05,4.8e-06,0.000748,0
0.9907,0.0005774,8.3e-07,9.936e-05,4.5e-06,0.00883,0
0.9956,0.0008435,1.13e-06,0.00010186,3e-06,0.00366,0
0.9966,0.0004292,7e-07,6.926e-05,5.25e-06,0.002846,0
0.997,0.000897,8.3e-07,5.97e-05,3.6e-06,0.002327,0
0.997,0.002235,7e-07,4.91e-05,3.34e-06,0.00099,0
0.997,0.002607,5.4e-07,2.83e-05,9.83e-06,0.0005317,0
0.996,0.001198,5.4e-07,3.976e-05,1.043e-05,0.002764,0
0.9927,0.001248,7e-07,2.04e-05,9.4e-06,0.006474,0
0.9976,0.001523,7e-07,2.754e-05,2.4e-06,0.001108,0
0.996,0.002327,9e-07,7.57e-06,1.56e-05,0.001218,0
0.9985,0.000276,8.3e-07,3.123e-05,7.03e-06,0.001362,0
0.9985,0.001466,1.67e-06,5.07e-05,7.5e-06,0.0003748,0
0.999,0.0004725,1e-06,3.916e-05,2.4e-06,0.00033,0
1.0,0.0001719,2.2e-06,2.6e-05,2.15e-06,0.0001527,0
0.999,0.000767,3.64e-06,1.85e-05,4.65e-06,2.97e-05,0
0.9995,0.00054,2.6e-06,2.09e-05,1.5e-06,0.00010306,0
0.9995,0.0003748,3.04e-06,4.4e-06,7.33e-06,0.0001539,0
0.9966,0.002886,2e-06,1.264e-05,1.32e-05,0.0004466,0
0.987,0.01311,9.4e-06,9.06e-06,1.585e-05,2.88e-05,0
0.995,0.004658,4.23e-06,1.407e-05,4.23e-06,6.53e-05,0
0.98,0.02017,5.25e-06,1.186e-05,6.44e-06,2.81e-05,0
0.995,0.004402,1.3e-06,4.524e-05,1.2e-06,0.0004287,0
0.998,0.000585,9e-07,1.98e-05,1.2e-05,0.00108,0
0.9995,0.0004232,1.204e-05,2.295e-05,9.3e-06,2.295e-05,0
0.9985,0.000481,3e-06,7.87e-06,1.484e-05,0.00118,0
0.9985,0.0002706,4.35e-06,1.98e-05,1.395e-05,0.000956,0
0.991,0.0004504,2.26e-06,3.755e-05,5.07e-06,0.008255,0
0.994,0.0001384,5.6e-06,5.8e-06,9.8e-06,0.00571,0
0.9873,0.0002584,1.09e-05,6.2e-06,3.23e-05,0.01217,0
0.997,0.000703,1.04e-05,2.2e-06,2.12e-05,0.00228,0
0.965,0.001032,1.22e-05,8.05e-06,2.605e-05,0.03467,0
0.989,0.0002034,3.1e-06,1.746e-05,4.2e-06,0.01113,0
0.9946,9.45e-05,9.95e-06,7.87e-06,9e-06,0.004868,0
0.993,0.0001814,5.54e-06,8.64e-06,1.836e-05,0.006702,0
0.9937,0.000283,2.2e-06,1.335e-05,1.466e-05,0.006145,0
0.9824,0.0002273,1.55e-06,7.6e-06,1.514e-05,0.0178,0
0.9966,0.0001969,1.67e-06,6.6e-06,1.37e-05,0.00354,0
0.995,0.0007997,1.3e-06,3.4e-06,9.9e-06,0.004078,0
0.9976,0.0003388,1.13e-06,3.8e-06,1.353e-05,0.001937,0
0.9956,0.000303,1.13e-06,6.14e-06,1.05e-05,0.003761,0
0.9907,0.0003183,1.2e-06,4.4e-06,1.45e-05,0.0087,0
0.9893,0.0002403,1.43e-06,1.1e-06,5.45e-05,0.01069,0
0.996,0.0001351,1.5e-06,1.2e-06,0.0001751,0.004005,0
0.992,0.0005064,2.8e-06,8.3e-07,5.65e-05,0.007023,0
0.9873,0.0003197,1.85e-06,2.2e-06,0.0001662,0.012115,0
0.9956,0.0004916,1.9e-06,1.7e-06,7.266e-05,0.00426,0
0.996,0.0001795,2.26e-06,2.5e-06,0.00010353,0.004097,0
0.9834,9.34e-05,2.1e-06,5.2e-06,0.000262,0.0159,0
0.9893,0.0002315,2.9e-06,6.9e-06,9.73e-05,0.01064,0
0.991,0.0001515,9.4e-06,4e-06,0.000719,0.007965,0
0.9653,0.0001928,3.2e-06,6.26e-06,0.001116,0.03317,0
0.9937,0.000735,4.77e-06,1.48e-05,0.0004468,0.004623,0
0.996,0.0003645,2.7e-06,1.824e-05,0.0003405,0.003336,0
0.9585,0.0001756,2.4e-06,3.16e-05,0.000416,0.0409,0
0.986,0.0001323,1.25e-06,2.09e-05,0.0001906,0.01429,0
0.991,0.0003128,1.8e-06,2.28e-05,0.000324,0.0085,0
